City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Puerto Baquerizo Moreno,100,EC,1603154963,87,-0.9,-89.6,69.58,11.88
1,Kapaa,40,US,1603154963,74,22.08,-159.32,84.99,17.22
2,Saldanha,100,ZA,1603154963,76,-33.01,17.94,55.4,2.24
3,Vila Velha,75,BR,1603154701,88,-20.33,-40.29,71.6,2.24
4,Hamilton,90,US,1603154931,93,39.18,-84.53,55.4,3.36
5,Cherskiy,56,RU,1603155219,94,68.75,161.3,21.63,3.94
6,Provideniya,75,RU,1603155097,80,64.38,-173.3,35.6,2.24
7,Tambovka,20,RU,1603155097,59,50.1,128.05,37.4,6.71
8,Vadsø,99,NO,1603154965,76,70.07,29.75,33.8,8.05
9,Mogadishu,16,SO,1603154965,85,2.04,45.34,78.46,10.13
10,Mataura,83,NZ,1603154965,89,-46.19,168.86,50.0,11.99
11,Qaanaaq,7,GL,1603155098,88,77.48,-69.36,27.5,5.97
12,Saint-Philippe,37,RE,1603154965,60,-21.36,55.77,69.8,4.7
13,Hermanus,15,ZA,1603154966,78,-34.42,19.23,57.0,3.0
14,Avarua,33,CK,1603154966,78,-21.21,-159.78,80.6,5.82
15,Rikitea,0,PF,1603154966,76,-23.12,-134.97,74.41,11.1
16,Třebíč,75,CZ,1603154966,93,49.21,15.88,43.0,4.7
17,Albany,100,US,1603154727,89,42.6,-73.97,55.99,5.41
18,Esim,73,GH,1603154967,88,4.87,-2.24,77.25,7.81
19,Chokurdakh,94,RU,1603155100,98,70.63,147.92,16.16,6.26
20,Butaritari,100,KI,1603154967,77,3.07,172.79,82.51,10.69
21,Pusztaföldvár,0,HU,1603154967,93,46.53,20.8,39.2,4.7
22,Sirte,0,LY,1603154967,59,31.21,16.59,70.7,11.56
23,Airai,1,TL,1603154968,34,-8.93,125.41,78.78,3.31
24,Sakakah,0,SA,1603154968,16,29.97,40.21,64.4,3.06
25,Richards Bay,23,ZA,1603155101,93,-28.78,32.04,69.24,2.77
26,Paraíso,75,CR,1603154713,93,9.84,-83.87,66.2,1.25
27,Saint Paul Harbor,1,US,1603154969,49,57.79,-152.41,48.2,11.41
28,Bredasdorp,93,ZA,1603155197,76,-34.53,20.04,57.2,10.29
29,Ilulissat,100,GL,1603154969,74,69.22,-51.1,37.4,13.87
30,Punta Arenas,20,CL,1603154758,80,-53.15,-70.92,39.2,23.04
31,Hithadhoo,71,MV,1603154734,78,-0.6,73.08,82.65,13.0
32,Beringovskiy,97,RU,1603155225,82,63.05,179.32,39.58,11.5
33,Inírida,37,CO,1603154788,81,3.87,-67.92,77.34,1.39
34,Cape Town,20,ZA,1603154970,93,-33.93,18.42,57.99,5.82
35,Saskylakh,86,RU,1603154970,97,71.92,114.08,22.46,4.79
36,Lázaro Cárdenas,52,MX,1603154659,85,17.96,-102.2,81.41,4.56
37,Klaksvík,2,FO,1603154873,86,62.23,-6.59,39.2,5.82
38,Aklavik,90,CA,1603154971,92,68.22,-135.01,23.0,5.82
39,Rūdbār,0,AF,1603154971,43,30.15,62.6,50.4,2.15
40,Busselton,0,AU,1603154971,65,-33.65,115.33,66.0,1.99
41,Port Alfred,0,ZA,1603154971,80,-33.59,26.89,62.06,21.59
42,Thompson,90,CA,1603154972,63,55.74,-97.86,28.4,4.7
43,Erzin,76,TR,1603154972,75,36.96,36.2,70.0,0.85
44,Tilichiki,100,RU,1603154838,98,60.47,166.1,38.62,0.34
45,San Andrés,75,CO,1603154972,83,12.58,-81.7,82.4,9.17
46,Coyhaique,75,CL,1603154972,86,-45.58,-72.07,42.8,3.36
47,Manono,58,CD,1603154972,81,-7.3,27.42,71.42,1.97
48,Severo-Kuril'sk,67,RU,1603155106,64,50.68,156.12,42.21,10.83
49,Norman Wells,75,CA,1603154973,73,65.28,-126.83,19.4,13.87
50,Marfino,75,RU,1603154973,80,55.7,37.38,37.0,15.66
51,Ushuaia,75,AR,1603154884,93,-54.8,-68.3,37.4,19.46
52,Barrow,90,US,1603154973,85,71.29,-156.79,23.0,11.41
53,East London,82,ZA,1603155028,80,-33.02,27.91,64.15,20.85
54,Kisangani,92,CD,1603154974,96,0.52,25.2,69.66,0.63
55,Manta,75,EC,1603154727,78,-0.95,-80.73,73.4,11.41
56,Hobart,40,AU,1603154892,54,-42.88,147.33,64.99,4.7
57,Port Hardy,75,CA,1603155108,71,50.7,-127.42,53.6,5.82
58,Meadow Lake,20,US,1603154974,9,34.8,-106.54,80.6,6.93
59,Vestmanna,2,FO,1603154975,86,62.16,-7.17,39.2,5.82
60,Tasiilaq,60,GL,1603154975,90,65.61,-37.64,32.0,6.93
61,Saint-François,98,FR,1603154975,67,46.42,3.91,57.2,11.41
62,Buala,89,SB,1603154975,68,-8.14,159.59,86.2,3.44
63,Jumla,0,NP,1603154832,53,29.27,82.18,47.07,4.85
64,Katsuura,88,JP,1603155109,63,35.13,140.3,64.99,12.75
65,Biltine,0,TD,1603154976,17,14.53,20.92,81.93,7.65
66,Saint George,1,US,1603154976,9,37.1,-113.58,86.0,13.87
67,Nikolskoye,90,RU,1603154898,80,59.7,30.79,35.6,15.66
68,Laas,100,IT,1603154976,52,46.62,10.7,46.99,1.1
69,San Patricio,20,US,1603154976,74,28.02,-97.52,82.4,14.99
70,Gilgit,0,PK,1603154977,34,35.92,74.31,55.36,4.99
71,College,90,US,1603154945,79,64.86,-147.8,21.99,1.28
72,Ponta do Sol,100,PT,1603154977,85,32.67,-17.1,68.0,4.0
73,Cumberland,1,US,1603154977,88,35.05,-78.87,66.0,4.7
74,Clyde River,20,CA,1603154977,91,70.47,-68.59,32.0,17.22
75,Touros,40,BR,1603154648,83,-5.2,-35.46,77.0,3.36
76,Río Gallegos,20,AR,1603154583,48,-51.62,-69.22,42.8,29.97
77,Geraldton,90,AU,1603155122,64,-28.77,114.6,69.8,12.75
78,George Town,20,MY,1603154978,83,5.41,100.34,82.4,4.7
79,New Norfolk,56,AU,1603154891,68,-42.78,147.06,64.99,1.01
80,Porosozero,100,RU,1603154979,98,62.72,32.73,31.17,12.06
81,Taveta,20,KE,1603154979,72,-3.4,37.67,66.2,4.7
82,Walvis Bay,0,NA,1603154979,87,-22.96,14.51,55.99,8.05
83,Amzya,100,RU,1603154979,72,56.24,54.39,40.89,4.61
84,Atuona,3,PF,1603154724,74,-9.8,-139.03,78.57,18.81
85,Vaini,75,TO,1603154980,74,-21.2,-175.2,78.8,11.41
86,Faanui,19,PF,1603155001,80,-16.48,-151.75,78.98,19.62
